Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Shah T.R.","57340046700;","Can big data analytics help organisations achieve sustainable competitive advantage? A developmental enquiry",2022,"Technology in Society","68",,"101801","","",,13,"10.1016/j.techsoc.2021.101801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119182423&doi=10.1016%2fj.techsoc.2021.101801&partnerID=40&md5=cbc03b1f3308edd65ed8c79a4c6523fc","Department of Business Administration, College of Business and Technology - BA Campus, Northeastern State University, 3100 E. New Orleans, Broken Arrow, OK  74014, United States","Shah, T.R., Department of Business Administration, College of Business and Technology - BA Campus, Northeastern State University, 3100 E. New Orleans, Broken Arrow, OK  74014, United States","Big data analytics; Digital age; Knowledge-based view; Maturity model; Resource-based view; Sustainable competitive advantage","Big data; Customer satisfaction; Data Analytics; Decision making; Knowledge based systems; Knowledge management; Sustainable development; 'current; Competitive advantage; Digital age; Digital era; Digital revolution; Knowledge-based approach; Knowledge-based views; Maturity model; Resource-based view; Sustainable competitive advantages; Competition; competitiveness; data set; decision making; holistic approach; industrial development; industrial practice; knowledge based system; sustainability",,0160791X,,,"Technol. Soc.",Article,"Final","",Scopus
"Brown E., Piroska D.","57222814571;57192403721;","Governing Fintech and Fintech as Governance: The Regulatory Sandbox, Riskwashing, and Disruptive Social Classification",2022,"New Political Economy","27","1",,"19","32",,13,"10.1080/13563467.2021.1910645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104064573&doi=10.1080%2f13563467.2021.1910645&partnerID=40&md5=8b286c360b1f47f75ce87593d59047cb","International Business School, Budapest, Hungary; Institute of Economic and Public Policy, Corvinus University of Budapest, Hungary; Department of International Relations, Central European Univeristy, Vienna, Austria","Brown, E., International Business School, Budapest, Hungary; Piroska, D., Institute of Economic and Public Policy, Corvinus University of Budapest, Hungary, Department of International Relations, Central European Univeristy, Vienna, Austria","banking; financialization; Fintech; governance; regulation; sandbox","banking; financial market; financial policy; financial system; governance approach","Piroska, D.; Institute of Economic and Public Policy, Hungary; email: piroskad@ceu.edu",13563467,,,"New Polit. Econ.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus
"Dashottar S., Srivastava V.","57204663666;55425994800;","Corporate banking—risk management, regulatory and reporting framework in India: a Blockchain application-based approach",2021,"Journal of Banking Regulation","22","1",,"39","51",,13,"10.1057/s41261-020-00127-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083763943&doi=10.1057%2fs41261-020-00127-z&partnerID=40&md5=40d14476fddb72dbb66fa7be4efe1d48","Indian Institute of Management Lucknow, Lucknow, India","Dashottar, S., Indian Institute of Management Lucknow, Lucknow, India; Srivastava, V., Indian Institute of Management Lucknow, Lucknow, India","Bank regulations; Blockchain; Corporate banking; Distributed ledger technology; FinTech; Information asymmetry; Non-performing assets; RegTech; Reporting framework",,"Srivastava, V.; Indian Institute of Management LucknowIndia; email: vikas.srivastava@iiml.ac.in",17456452,,,"J. Bank. Regul.",Article,"Final","",Scopus
"Fried J.M., Kamar E., Yafeh Y.","7101876694;6603368951;6602658240;","The effect of minority veto rights on controller pay tunneling",2020,"Journal of Financial Economics","138","3",,"777","788",,13,"10.1016/j.jfineco.2020.06.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088507482&doi=10.1016%2fj.jfineco.2020.06.015&partnerID=40&md5=e481583d29f135fcbb12f965afc004a0","Harvard Law School, Griswold Hall 506, Cambridge, MA  02138, United States; Tel Aviv University Buchmann Faculty of Law, Ramat Aviv, Tel Aviv, 6997801, Israel; School of Business Administration, The Hebrew University, Jerusalem, 9190501, Israel; European Corporate Governance Institute (ECGI); Centre for Economic Policy Research (CEPR)","Fried, J.M., Harvard Law School, Griswold Hall 506, Cambridge, MA  02138, United States, European Corporate Governance Institute (ECGI); Kamar, E., Tel Aviv University Buchmann Faculty of Law, Ramat Aviv, Tel Aviv, 6997801, Israel, European Corporate Governance Institute (ECGI); Yafeh, Y., School of Business Administration, The Hebrew University, Jerusalem, 9190501, Israel, European Corporate Governance Institute (ECGI), Centre for Economic Policy Research (CEPR)","Controlling shareholders; Executive compensation; Related-party transactions; Shareholder voting; Tunneling",,"Fried, J.M.; Harvard Law School, Griswold Hall 506, United States; email: jfried@law.harvard.edu",0304405X,,JFECD,"J. Financ. Econ.",Article,"Final","",Scopus
"AKÇAY S.","56783932900;","Remittances and financial development in Bangladesh: substitutes or complements?",2020,"Applied Economics Letters","27","14",,"1206","1214",,13,"10.1080/13504851.2019.1676376","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074534859&doi=10.1080%2f13504851.2019.1676376&partnerID=40&md5=32502c2e55eef3cafa89a6727fca114a","Department of Economics, Afyon Kocatepe University, Afyonkarahisar, Turkey","AKÇAY, S., Department of Economics, Afyon Kocatepe University, Afyonkarahisar, Turkey","Bangladesh; financial development; non-linearity; Remittances","economic reform; financial market; market development; monetary policy; nonlinearity; remittance; time series analysis; Bangladesh","AKÇAY, S.; Department of Economics, Turkey; email: selcuk19@hotmail.com",13504851,,,"Appl. Econ. Lett.",Article,"Final","",Scopus
"Ozili P.K.","56539968900;","Contesting digital finance for the poor",2020,"Digital Policy, Regulation and Governance ","22","2",,"135","151",,13,"10.1108/DPRG-12-2019-0104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084853700&doi=10.1108%2fDPRG-12-2019-0104&partnerID=40&md5=5554eb1b54c7e3aee0b1fed70ad9bf59","Central Bank of Nigeria, Abuja, Nigeria","Ozili, P.K., Central Bank of Nigeria, Abuja, Nigeria","Blockchain; Digital finance; Financial development; Financial inclusion; Financial technology; Fintech; Innovation; Microfinance; Poor people; Risk; Technology",,"Ozili, P.K.; Central Bank of NigeriaNigeria; email: petersonkitakogelu@yahoo.com",23985038,,,"Digit. Poli. Regul. Govern.",Article,"Final","All Open Access, Green",Scopus
"Nabilou H., Prüm A.","57198449137;56586941400;","Ignorance, debt, and cryptocurrencies: The old and the new in the law and economics of concurrent currencies",2019,"Journal of Financial Regulation","5","1","fjz002","29","63",,13,"10.1093/jfr/fjz002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071264456&doi=10.1093%2fjfr%2ffjz002&partnerID=40&md5=bc028daad2290e57f0dcdbd8e2b6af13","University of Luxembourg, Faculty of Law, Economics and Finance, Luxembourg; University of Luxembourg, Faculty of Law, Economics and Finance, European Banking Institute, Luxembourg","Nabilou, H., University of Luxembourg, Faculty of Law, Economics and Finance, Luxembourg; Prüm, A., University of Luxembourg, Faculty of Law, Economics and Finance, European Banking Institute, Luxembourg","Bitcoin; Blockchain; Cryptocurrency; Information asymmetry; Money; Safe asset",,,20534833,,,"J. Financ. Regul.",Article,"Final","All Open Access, Green",Scopus
"Crawford K., Schultz J.","35306658100;40462211000;","Ai systems as state actors",2019,"Columbia Law Review","119","7",,"1941","1972",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078584409&partnerID=40&md5=0174b2baf06e457dbc95729bf14c7ba2","New York University, United States; AI Now Institute, New York University, United States","Crawford, K., New York University, United States, AI Now Institute, New York University, United States; Schultz, J., New York University, United States, AI Now Institute, New York University, United States",,,,00101958,,,"Columbia Law Rev.",Article,"Final","",Scopus
"Olhede S., Rodrigues R.","6507545514;57193825237;","Fairness and transparency in the age of the algorithm",2017,"Significance","14","2",,"8","9",,13,"10.1111/j.1740-9713.2017.01012.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016992795&doi=10.1111%2fj.1740-9713.2017.01012.x&partnerID=40&md5=5f1bd5cf2c9ba6e405aee459a7e052b5","University College London, United Kingdom; UCL Big Data Institute, United Kingdom","Olhede, S., University College London, United Kingdom; Rodrigues, R., UCL Big Data Institute, United Kingdom",,,,17409705,,,"Significance",Article,"Final","All Open Access, Bronze, Green",Scopus
"Zhang W., Clark R.A.J., Wang Y., Li W.","56760576100;55473887000;56415139300;57188659481;","Unsupervised language identification based on Latent Dirichlet Allocation",2016,"Computer Speech and Language","39",,,"47","66",,13,"10.1016/j.csl.2016.02.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962069212&doi=10.1016%2fj.csl.2016.02.001&partnerID=40&md5=32c0c32e149e1b8bafaab794c504c0c0","Dept. of Comp. Sci. and Tech., Ocean University of China, Qingdao, 266100, China; CSTR, University of Edinburgh, Edinburgh, EH89AB, United Kingdom","Zhang, W., Dept. of Comp. Sci. and Tech., Ocean University of China, Qingdao, 266100, China, CSTR, University of Edinburgh, Edinburgh, EH89AB, United Kingdom; Clark, R.A.J., CSTR, University of Edinburgh, Edinburgh, EH89AB, United Kingdom; Wang, Y., Dept. of Comp. Sci. and Tech., Ocean University of China, Qingdao, 266100, China; Li, W., Dept. of Comp. Sci. and Tech., Ocean University of China, Qingdao, 266100, China","Language filtering; Language identification; Language purifying","Natural language processing systems; Speech synthesis; Statistics; Hierarchical Dirichlet process; Language identification; Language processing; Language purifying; Latent Dirichlet allocation; Linguistic knowledge; Speech synthesis system; State of the art; Computational linguistics","Zhang, W.; Dept. of Comp. Sci. and Tech., China; email: weizhang@ouc.edu.cn",08852308,,CSPLE,"Comput Speech Lang",Article,"Final","",Scopus
"Ranchordás S.","56109277000;","Sunset clauses and experimental regulations: Blessing or curse for legal certainty?",2015,"Statute Law Review","36","1",,"28","45",,13,"10.1093/slr/hmu002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939522660&doi=10.1093%2fslr%2fhmu002&partnerID=40&md5=6c904cf3ebf2f962d1c52f5f3a8e7319","Tilburg Law School, Tilburg University, Tilburg, Netherlands","Ranchordás, S., Tilburg Law School, Tilburg University, Tilburg, Netherlands",,,"Ranchordás, S.; Tilburg Law School, Netherlands",01443593,,,"Statute Law Rev.",Article,"Final","",Scopus
"Thompson G.","7403077745;","Sources of financial sociability: Networks, ecological systems or diligent risk preparedness?",2011,"Journal of Cultural Economy","4","4",,"405","421",,13,"10.1080/17530350.2011.609699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859495005&doi=10.1080%2f17530350.2011.609699&partnerID=40&md5=20e5cf2b94854cc4eb3201b4bf6eafa8","Department of Business and Politics, Copenhagen Business School, Steen Blichers Vej 22, DK-2000 Frederiksberg, Denmark","Thompson, G., Department of Business and Politics, Copenhagen Business School, Steen Blichers Vej 22, DK-2000 Frederiksberg, Denmark","Distributed regulatory preparedness; Ecological systems; Financial calculation; Financial irrationality; Financial sociability; systemic risk assessment",,"Thompson, G.; Department of Business and Politics, Steen Blichers Vej 22, DK-2000 Frederiksberg, Denmark; email: gt.dbp@cbs.dk",17530350,,,"J. Cult. Econ.",Article,"Final","",Scopus
"Cyree K.B., Delcoure N., Dickens R.","6506536778;6507656345;7003985584;","An examination of the performance and prospects for the future of internet-primary banks",2009,"Journal of Economics and Finance","33","2",,"128","147",,13,"10.1007/s12197-008-9048-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65249111614&doi=10.1007%2fs12197-008-9048-0&partnerID=40&md5=6e508358abcd27743b99bb29b66b14da","School of Business Administration, 227 Holman Hall, University of Mississippi, P.O. Box 1848, University, MS 38677-1848, United States; Department of Economics, Finance, and Decision Information Sciences, University of St. Thomas-Houston, 103 Welder Hall, Houston, TX 77006-4626, United States; Department of Economics and Finance, Mitchell College of Business, University of South Alabama, Mobile, AL 36688, United States","Cyree, K.B., School of Business Administration, 227 Holman Hall, University of Mississippi, P.O. Box 1848, University, MS 38677-1848, United States; Delcoure, N., Department of Economics, Finance, and Decision Information Sciences, University of St. Thomas-Houston, 103 Welder Hall, Houston, TX 77006-4626, United States; Dickens, R., Department of Economics and Finance, Mitchell College of Business, University of South Alabama, Mobile, AL 36688, United States","Banking; Internet Banking; Profit Efficiency",,"Cyree, K. B.; School of Business Administration, P.O. Box 1848, University, MS 38677-1848, United States; email: kcyree@bus.olemiss.edu",10550925,,,"J. Econ. Financ.",Article,"Final","",Scopus
"Demetis D.S., Angell I.O.","15622829900;24456061200;","AML&hyphen;related technologies&colon; a systemic risk",2006,"Journal of Money Laundering Control","9","2",,"157","172",,13,"10.1108/13685200610660970","https://www.scopus.com/inward/record.uri?eid=2-s2.0-41149106888&doi=10.1108%2f13685200610660970&partnerID=40&md5=831f304a20ec3eee295b9c8b022285b7","Department of Information Systems, London School of Economics, London, United Kingdom","Demetis, D.S., Department of Information Systems, London School of Economics, London, United Kingdom; Angell, I.O., Department of Information Systems, London School of Economics, London, United Kingdom","Bureaucracy; Money laundering; Risk analysis; Systems theory",,"Angell, I.O.; Department of Information Systems, United Kingdom; email: i.angell@lse.ac.uk",13685201,,,"J. Money Laund. Control",Article,"Final","",Scopus
"Niu H., Xu W., Akbarzadeh H., Parvin H., Beheshti A., Alinejad-Rokny H.","57215841390;57210435260;57216389473;25927421600;50361038600;53871090400;","Deep feature learnt by conventional deep neural network",2020,"Computers and Electrical Engineering","84",,"106656","","",,12,"10.1016/j.compeleceng.2020.106656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083395667&doi=10.1016%2fj.compeleceng.2020.106656&partnerID=40&md5=3a9687901a02a15e0654ebb3761001f0","School of Information and Communication Engineering, Communication University of China, Beijing, 100000, China; Department of Information Technology, Hubei University of Police, China; Hubei Collaborative Innovation Center of Digital Forensics and Trusted Application, China; Departeman of Computer Science, Nourabad Mamasani Branch, Islamic Azad University, Fars, Mamasani, Iran; Young Researchers and Elite Club, Nourabad Mamasani Branch, Islamic Azad University, Fars, Mamasani, Iran; Department of Computing, Macquarie University, Sydney, 2109, Australia; Systems Biology and Health Data Analytics Lab, the Graduate School of Biomedical Engineering, UNSW Sydney, Sydney, 2052, Australia; School of Computer Science and Engineering, the University of New South Wales (UNSW Sydney), Sydney, 2052, Australia; Health Data Analytics Program Leader, AI-enabled Processes (AIP) Research Centre, Macquarie University, Sydney, 2109, Australia","Niu, H., School of Information and Communication Engineering, Communication University of China, Beijing, 100000, China; Xu, W., Department of Information Technology, Hubei University of Police, China, Hubei Collaborative Innovation Center of Digital Forensics and Trusted Application, China; Akbarzadeh, H., Departeman of Computer Science, Nourabad Mamasani Branch, Islamic Azad University, Fars, Mamasani, Iran; Parvin, H., Departeman of Computer Science, Nourabad Mamasani Branch, Islamic Azad University, Fars, Mamasani, Iran, Young Researchers and Elite Club, Nourabad Mamasani Branch, Islamic Azad University, Fars, Mamasani, Iran; Beheshti, A., Department of Computing, Macquarie University, Sydney, 2109, Australia; Alinejad-Rokny, H., Systems Biology and Health Data Analytics Lab, the Graduate School of Biomedical Engineering, UNSW Sydney, Sydney, 2052, Australia, School of Computer Science and Engineering, the University of New South Wales (UNSW Sydney), Sydney, 2052, Australia, Health Data Analytics Program Leader, AI-enabled Processes (AIP) Research Centre, Macquarie University, Sydney, 2109, Australia","Convolutional neural network; Data analytics; Deep feature; Deep neural network; Image classification; Intelligent filtering system","Large dataset; Medical imaging; Network architecture; Large-scale datasets; Deep neural networks","Xu, W.; Department of Information Technology, China; email: wei2016@outlook.com",00457906,,CPEEB,"Comput Electr Eng",Article,"Final","",Scopus
